kepid,kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_model_snr
7115878,K06825.01,FALSE POSITIVE,0.566790294,3.418e-06,-3.418e-06,3.641,0.176,-0.176,64.0,4.0,-4.0,0.89,0.26,-0.14,1.093,0.322,-0.174,22.6
7116043,K06826.01,FALSE POSITIVE,0.566799725,8.941e-06,-8.941e-06,4.097,0.637,-0.637,46.7,7.1,-7.1,0.77,0.22,-0.17,1.132,0.314,-0.257,12.5
7116226,K06827.01,FALSE POSITIVE,0.566801325,3.509e-06,-3.509e-06,4.176,0.166,-0.166,92.1,5.3,-5.3,1.07,0.33,-0.11,1.021,0.32,-0.107,26.4
8008128,K06950.01,FALSE POSITIVE,14.854415674,7.89e-07,-7.89e-07,5.13753,0.00145,-0.00145,77410.0,35.0,-35.0,29.77,10.19,-3.41,1.022,0.35,-0.117,2822.1
8009500,K06951.01,FALSE POSITIVE,38.47674409,1.461e-06,-1.461e-06,5.10744,0.00112,-0.00112,173170.0,57.8,-57.8,33.8,4.36,-3.94,0.79,0.102,-0.092,3487.8
8013289,K06952.01,FALSE POSITIVE,10.643110689,,,88.1118,,,316.3,,,31.72,7.94,-10.92,1.473,0.369,-0.507,153.7
8016214,K06953.01,FALSE POSITIVE,1.587485742,3.56e-07,-3.56e-07,7.7489,0.0142,-0.0142,246570.0,343.0,-343.0,41.52,9.36,-3.34,0.821,0.185,-0.066,996.8
8016692,K06954.01,CANDIDATE,6.613671,0.0001118,-0.0001118,4.211,0.449,-0.449,32.8,3.8,-3.8,0.91,0.2,-0.24,1.597,0.348,-0.425,10.2
8027902,K06955.01,FALSE POSITIVE,1.79621807,1.197e-05,-1.197e-05,10.16,1.2,-1.2,47.0,8.9,-8.9,1.54,0.32,-0.4,2.09,0.439,-0.537,42.0
8039925,K06956.01,FALSE POSITIVE,20.2594232,0.0008675,-0.0008675,19.27,3.1,-3.1,82.6,7.2,-7.2,1.23,0.4,-0.19,1.269,0.406,-0.203,23.7
8042644,K06957.01,CANDIDATE,1.48062814,1.556e-05,-1.556e-05,2.898,0.209,-0.209,62.5,7.3,-7.3,0.76,0.25,-0.08,0.937,0.305,-0.102,10.3
8081389,K06958.01,FALSE POSITIVE,1.489442254,9.2e-08,-9.2e-08,5.51392,0.00269,-0.00269,417900.0,121.0,-121.0,115.45,36.34,-27.22,1.62,0.51,-0.382,2309.2
8750094,K07086.01,FALSE POSITIVE,1.12679793,1.27e-05,-1.27e-05,12.079,0.923,-0.923,227.2,13.3,-13.3,21.07,5.52,-1.83,0.84,0.22,-0.073,21.1
8758161,K07087.01,FALSE POSITIVE,0.998217563,2.9e-08,-2.9e-08,3.90851,0.00107,-0.00107,87567.0,0.0,0.0,88.64,25.91,-25.91,1.755,0.513,-0.513,3979.1
8760760,K07088.01,CANDIDATE,2.68814059,1.569e-05,-1.569e-05,1.12,0.171,-0.171,145.2,21.6,-21.6,0.92,0.17,-0.07,0.734,0.137,-0.055,9.1
8767034,K07089.01,FALSE POSITIVE,0.58640848,3.766e-06,-3.766e-06,2.616,0.191,-0.191,61.3,3.2,-3.2,0.48,0.04,-0.04,0.615,0.061,-0.041,23.6
8773948,K07090.01,FALSE POSITIVE,33.46947449,8.737e-06,-8.737e-06,11.8874,0.0138,-0.0138,164610.0,153.0,-153.0,127.38,36.33,-84.71,3.075,0.877,-2.045,1255.2
8784288,K07091.01,FALSE POSITIVE,1.827558898,2.43e-07,-2.43e-07,4.72808,0.00703,-0.00703,314680.0,494.0,-494.0,118.28,26.99,-58.43,2.077,0.474,-1.026,920.8
8804358,K07092.01,FALSE POSITIVE,62.519211,0.003785,-0.003785,2.523,0.725,-0.725,277.6,93.6,-93.6,1.9,1.32,-0.2,1.137,0.785,-0.119,6.7
8807057,K07093.01,CANDIDATE,97.991569,0.001857,-0.001857,4.665,0.51,-0.51,126.8,18.4,-18.4,1.41,0.47,-0.16,1.169,0.389,-0.13,9.0
8508493,K07890.01,FALSE POSITIVE,349.85525,0.01389,-0.01389,5.42,0.895,-0.895,842.0,156.0,-156.0,2.63,0.77,-0.26,0.885,0.258,-0.086,7.9
9652632,K07217.01,FALSE POSITIVE,2.488812012,1.3e-07,-1.3e-07,5.94523,0.00208,-0.00208,131000.0,29.1,-29.1,83.26,21.97,-29.31,1.497,0.395,-0.527,3290.5
9655424,K07218.01,FALSE POSITIVE,0.51811818,5.324e-05,-5.324e-05,0.3969,0.076,-0.076,99.0,65.2,-65.2,1.09,0.34,-0.11,0.929,0.29,-0.097,7.8
9657636,K07219.01,FALSE POSITIVE,542.52829,0.02291,-0.02291,11.06,1.7,-1.7,75.2,11.0,-11.0,1.07,0.34,-0.25,1.212,0.386,-0.283,11.2
9658089,K07220.01,CANDIDATE,1.057080807,5.844e-06,-5.844e-06,1.82,0.139,-0.139,60.6,6.5,-6.5,0.97,0.32,-0.1,0.946,0.312,-0.098,11.3
9665503,K07221.01,FALSE POSITIVE,11.567974732,8.14e-07,-8.14e-07,5.96595,0.00287,-0.00287,416030.0,153.0,-153.0,45.65,5.99,-2.75,0.648,0.085,-0.039,2341.5
9673173,K07222.01,FALSE POSITIVE,21.294733865,1.75e-06,-1.75e-06,7.60143,0.00381,-0.00381,123180.0,46.2,-46.2,71.55,20.44,-16.74,1.278,0.365,-0.299,2674.6
9674320,K07223.01,CANDIDATE,317.062416,0.002425,-0.002425,7.438,0.65,-0.65,442.9,43.8,-43.8,1.59,0.27,-0.12,0.715,0.122,-0.052,9.8
9693803,K07224.01,CANDIDATE,13.4959496,0.0002598,-0.0002598,2.085,0.358,-0.358,253.6,45.6,-45.6,1.62,0.73,-0.15,1.019,0.456,-0.095,7.3
9711751,K07225.01,FALSE POSITIVE,0.855763492,1.53e-07,-1.53e-07,3.64361,0.00886,-0.00886,131660.0,236.0,-236.0,72.82,23.56,-11.75,1.326,0.429,-0.214,598.4
10619109,K07351.01,FALSE POSITIVE,2.045166206,2.54e-07,-2.54e-07,6.84312,0.00598,-0.00598,263640.0,196.0,-196.0,131.41,32.37,-48.56,2.135,0.526,-0.789,1488.6
10646620,K07352.01,FALSE POSITIVE,2.41349123,4.627e-05,-4.627e-05,11.29,2.6,-2.6,57.0,5.4,-5.4,2.11,0.34,-0.8,2.595,0.419,-0.978,38.1
10649230,K07353.01,FALSE POSITIVE,0.447820618,5.12e-07,-5.12e-07,0.4199,0.0274,-0.0274,58.3,2.2,-2.2,1.42,0.41,-0.63,1.607,0.472,-0.708,28.4
10659624,K07354.01,CANDIDATE,43.2675604,0.0008243,-0.0008243,8.331,0.4,-0.4,69.1,8.0,-8.0,1.61,0.25,-0.46,1.729,0.265,-0.492,10.0
10661913,K07355.01,FALSE POSITIVE,1.23133063,9.449e-06,-9.449e-06,3.7,0.198,-0.198,78.9,5.2,-5.2,0.54,0.03,-0.06,0.631,0.04,-0.06,17.6
10661976,K07356.01,FALSE POSITIVE,0.61566096,1.128e-05,-1.128e-05,2.669,0.579,-0.579,13.9,2.0,-2.0,0.84,0.2,-0.39,2.23,0.525,-1.049,8.5
10662021,K07357.01,FALSE POSITIVE,1.23140522,1.659e-05,-1.659e-05,3.338,0.432,-0.432,51.3,5.9,-5.9,0.81,0.23,-0.16,1.118,0.319,-0.213,10.8
10665228,K07358.01,CANDIDATE,11.3251153,0.0002504,-0.0002504,2.126,0.437,-0.437,297.2,51.7,-51.7,1.26,0.17,-0.12,0.727,0.102,-0.068,7.0
8560927,K07897.01,FALSE POSITIVE,31.9714488,0.0009358,-0.0009358,8.52,1.6,-1.6,42.9,7.6,-7.6,0.87,0.18,-0.21,1.323,0.268,-0.327,9.2
11817750,K07482.01,FALSE POSITIVE,9.762550001,1.646e-06,-1.646e-06,4.87531,0.00934,-0.00934,41580.0,64.2,-64.2,68.93,19.65,-17.85,1.95,0.556,-0.505,827.0
11825996,K07483.01,CANDIDATE,16.9163386,0.0003914,-0.0003914,2.521,0.601,-0.601,64.2,12.3,-12.3,0.68,0.31,-0.07,0.81,0.364,-0.083,6.3
11854636,K07484.01,CANDIDATE,37.0200232,0.0004305,-0.0004305,1.421,0.338,-0.338,581.0,156.0,-156.0,2.14,0.57,-0.19,0.886,0.233,-0.078,6.6
11855538,K07485.01,FALSE POSITIVE,2.521265,0.001108,-0.001108,2.69,8.1,-8.1,36.5,15.1,-15.1,1.16,0.27,-0.39,1.874,0.425,-0.637,5.9
11858541,K07486.01,FALSE POSITIVE,5.674353343,6.1e-07,-6.1e-07,4.17722,0.00451,-0.00451,36484.0,31.3,-31.3,51.63,16.92,-11.28,1.071,0.351,-0.234,1098.3
11873166,K07487.01,FALSE POSITIVE,0.734426335,1.4e-07,-1.4e-07,2.7415,0.0108,-0.0108,99056.0,225.0,-225.0,51.42,16.09,-5.37,0.997,0.312,-0.104,429.7
11873171,K07488.01,FALSE POSITIVE,0.734426409,5.41e-06,-5.41e-06,1.569,0.197,-0.197,94.1,11.3,-11.3,0.98,0.28,-0.11,1.005,0.283,-0.121,10.4
11904704,K07489.01,CANDIDATE,0.565713361,2.319e-06,-2.319e-06,0.954,0.166,-0.166,86.4,11.6,-11.6,0.81,0.12,-0.08,0.881,0.125,-0.094,11.6
3102024,K06304.01,FALSE POSITIVE,13.782522208,2.072e-06,-2.072e-06,8.27762,0.00714,-0.00714,248940.0,184.0,-184.0,41.84,4.01,-4.01,0.668,0.064,-0.064,1524.1
3110937,K06305.01,FALSE POSITIVE,1.89121656,4.526e-05,-4.526e-05,5.14,1.6,-1.6,66.8,8.0,-8.0,0.73,0.19,-0.12,0.884,0.221,-0.148,10.7
